Month,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,Year,Date/Time Event Began,Date/Time Restoration,Event Duration (hours)
April,Indiana,RF,System Operations,0.0,0.0,2019,2019-04-30 12:25:00,2019-04-30 13:11:00,0.77
May,Pennsylvania,RF,Transmission Interruption,29.0,1.0,2019,2019-05-08 09:22:00,2019-05-08 09:56:00,0.57
May,Louisiana,SPP RE,Severe Weather/Distribution Interruption,,65844.0,2019,2019-05-08 15:50:00,2019-05-13 00:00:00,8.17
May,Texas,TRE,Severe Weather,691.0,238015.0,2019,2019-05-09 17:55:00,2019-05-11 20:50:00,2.92
May,Texas,TRE,Severe Weather/Transmission Interruption,0.0,0.0,2019,2019-05-09 19:06:00,2019-05-10 02:57:00,7.85
May,Texas,TRE,Severe Weather,,61008.0,2019,2019-05-10 02:00:00,2019-05-10 12:15:00,10.25
May,California,WECC,Vandalism,0.0,0.0,2019,2019-05-11 14:08:00,2019-05-11 15:00:00,0.87
May,West Virginia,RF,Suspicious Activity,,,2019,2019-05-15 12:10:00,2019-05-15 12:11:00,0.02
May,Texas,TRE,Severe Weather,,68000.0,2019,2019-05-18 15:45:00,2019-05-20 04:00:00,12.25
May,Colorado,WECC,Vandalism,30.0,0.0,2019,2019-05-18 01:55:00,2019-05-18 15:06:00,13.18
May,Virginia,SERC,Severe Weather,,100000.0,2019,2019-05-23 16:55:00,2019-05-23 23:40:00,6.75
May,Indiana,RF,Severe Weather/Transmission Interruption,0.0,0.0,2019,2019-05-23 01:11:00,2019-05-23 12:00:00,10.82
May,Kentucky,SERC,System Operations,0.0,0.0,2019,2019-05-24 07:28:00,2019-05-24 08:30:00,1.03
May,North Dakota,MRO,System Operations,0.0,0.0,2019,2019-05-24 20:09:00,2019-05-25 14:23:00,18.23
May,California,WECC,Severe Weather,20.0,10961.0,2019,2019-05-24 21:47:00,2019-05-24 23:58:00,2.18
May,Ohio,RF,Severe Weather/Transmission Interruption,347.0,70000.0,2019,2019-05-27 22:07:00,2019-05-28 03:00:00,4.88
June,California,WECC,Severe Weather/Transmission Interruption,,,2019,2019-06-02 18:19:00,2019-06-02 20:43:00,2.4
June,Nevada,WECC,Suspicious Activity,0.0,0.0,2019,2019-06-04 10:15:00,2019-06-04 13:15:00,3.0
June,Idaho,WECC,Vandalism,0.0,0.0,2019,2019-06-05 08:37:00,2019-06-05 08:40:00,0.05
June,South Dakota,MRO,Vandalism,0.0,0.0,2019,2019-06-05 10:16:00,2019-06-05 10:17:00,0.02
June,California,WECC,Vandalism,0.0,0.0,2019,2019-06-05 09:46:00,2019-06-05 12:00:00,2.23
June,Texas,TRE,Severe Weather,,55017.0,2019,2019-06-06 18:09:00,2019-06-06 18:35:00,0.43
June,Texas,TRE,Transmission Interruption,8.0,1.0,2019,2019-06-07 14:43:00,2019-06-07 16:20:00,1.62
June,Texas,TRE,Transmission Interruption,0.0,0.0,2019,2019-06-08 15:50:00,2019-06-08 19:40:00,3.83
June,Texas,TRE,Severe Weather,,558000.0,2019,2019-06-09 14:45:00,2019-06-13 22:30:00,7.75
June,North Dakota,MRO,Vandalism,0.0,0.0,2019,2019-06-11 15:11:00,2019-06-11 17:00:00,1.82
June,Utah,WECC,Vandalism,0.0,0.0,2019,2019-06-11 07:52:00,2019-06-11 07:53:00,0.02
June,California,WECC,Generation Inadequacy,982.0,30907.0,2019,2019-06-12 14:56:00,2019-06-12 15:50:00,0.9
June,Texas,TRE,Severe Weather,,340000.0,2019,2019-06-16 02:00:00,2019-06-17 23:59:00,21.98
June,Oklahoma,SPP RE,Severe Weather/Transmission Interruption,,,2019,2019-06-16 03:25:00,,
June,Washington,WECC,Suspicious Activity,0.0,0.0,2019,2019-06-18 06:21:00,2019-06-18 06:40:00,0.32
June,Oklahoma,SPP RE,Vandalism,0.0,0.0,2019,2019-06-19 11:00:00,2019-06-19 11:01:00,0.02
June,Arkansas,SPP RE,Severe Weather,,82045.0,2019,2019-06-19 22:30:00,2019-06-20 19:00:00,20.5
June,Nevada,WECC,Vandalism,0.0,0.0,2019,2019-06-19 15:00:00,,
June,Virginia,SERC,Severe Weather,,60000.0,2019,2019-06-20 16:11:00,2019-06-21 12:45:00,20.57
June,Maine,NPCC,System Operations,0.0,0.0,2019,2019-06-21 18:36:00,2019-06-21 19:27:00,0.85
June,Kentucky,SERC,Severe Weather,,50000.0,2019,2019-06-21 19:15:00,,
June,California,WECC,Vandalism,0.0,0.0,2019,2019-06-21 10:00:00,2019-06-21 11:00:00,1.0
June,Alabama,SERC,Severe Weather,115.0,34637.0,2019,2019-06-22 20:46:00,2019-06-23 00:30:00,3.73
June,Texas,TRE,Severe Weather,,265000.0,2019,2019-06-23 22:00:00,2019-06-25 23:00:00,1.0
June,Arkansas,SPP RE,Transmission Interruption,47.0,16199.0,2019,2019-06-23 05:13:00,2019-06-23 10:58:00,5.75
June,Oklahoma,SPP RE,System Operations,0.0,0.0,2019,2019-06-24 09:40:00,2019-06-24 15:17:00,5.62
June,Arkansas,SPP RE,Severe Weather,,56451.0,2019,2019-06-24 05:30:00,2019-06-24 08:45:00,3.25
June,North Dakota,MRO,Transmission Interruption,53.0,0.0,2019,2019-06-26 13:58:00,2019-06-26 14:03:00,0.08
June,Idaho,WECC,Transmission Interruption,0.0,0.0,2019,2019-06-28 14:25:00,,
June,New York,NPCC,Severe Weather,3189.0,52498.0,2019,2019-06-30 15:15:00,2019-06-30 16:15:00,1.0
June,Illinois,SERC,Severe Weather,,100000.0,2019,2019-06-30 15:30:00,2019-06-30 20:30:00,5.0
July,Idaho,WECC,Vandalism,0.0,0.0,2019,2019-07-02 13:00:00,2019-07-02 13:22:00,0.37
July,Mississippi,SERC,Vandalism,,3000.0,2019,2019-07-06 22:00:00,2019-07-07 13:57:00,15.95
July,Texas,SPP RE,Vandalism,0.0,0.0,2019,2019-07-09 01:59:00,2019-07-09 15:50:00,13.85
July,Texas,TRE,Severe Weather,,57000.0,2019,2019-07-10 12:10:00,2019-07-12 12:30:00,0.33
July,Utah,WECC,Vandalism,0.0,0.0,2019,2019-07-10 12:00:00,2019-07-10 12:15:00,0.25
July,Texas,TRE,Transmission Interruption,26.0,2043.0,2019,2019-07-11 11:08:00,2019-07-11 11:13:00,0.08
July,Louisiana,SERC,Severe Weather,,63000.0,2019,2019-07-13 23:55:00,2019-07-14 13:00:00,13.08
July,Louisiana,SERC,Severe Weather,,55730.0,2019,2019-07-13 07:15:00,2019-07-14 17:00:00,9.75
July,New York,NPCC,Transmission Interruption,452.0,72669.0,2019,2019-07-13 18:47:00,2019-07-13 23:37:00,4.83
July,Oklahoma,SPP RE,Suspicious Activity,0.0,0.0,2019,2019-07-17 14:12:00,2019-07-17 14:30:00,0.3
July,Michigan,RF,Severe Weather,,400000.0,2019,2019-07-19 19:00:00,2019-07-21 20:00:00,1.0
July,Wisconsin,MRO,System Operations,,,2019,2019-07-19 09:55:00,2019-07-19 13:00:00,3.08
July,Missouri,SERC,Suspicious Activity,0.0,0.0,2019,2019-07-20 07:37:00,2019-07-20 09:20:00,1.72
July,Wisconsin,RF,Severe Weather,200.0,50000.0,2019,2019-07-20 11:55:00,2019-07-23 00:00:00,12.08
July,Michigan,RF,Severe Weather,,160000.0,2019,2019-07-20 03:00:00,2019-07-22 07:00:00,4.0
July,New York,NPCC,Severe Weather,60.0,45000.0,2019,2019-07-21 23:00:00,2019-07-22 20:54:00,21.9
July,Pennsylvania,RF,Severe Weather,,165000.0,2019,2019-07-22 16:00:00,2019-07-24 23:00:00,7.0
July,New Jersey,RF,Severe Weather,49.0,95600.0,2019,2019-07-22 17:50:00,2019-07-25 13:15:00,19.42
July,Nebraska,MRO,Transmission Interruption,0.0,0.0,2019,2019-07-23 23:55:00,2019-07-23 23:56:00,0.02
July,California,WECC,Vandalism,,25.0,2019,2019-07-23 03:22:00,2019-07-23 05:40:00,2.3
July,Nebraska,MRO,Transmission Interruption,0.0,0.0,2019,2019-07-23 23:55:00,2019-07-24 05:22:00,5.45
July,Massachusetts,NPCC,Severe Weather,54.0,54535.0,2019,2019-07-23 15:39:00,2019-07-23 19:00:00,3.35
July,Utah,WECC,Vandalism,,1.0,2019,2019-07-24 13:30:00,2019-07-24 13:31:00,0.02
July,Maine,NPCC,System Operations,0.0,0.0,2019,2019-07-24 08:01:00,2019-07-24 12:49:00,4.8
July,Michigan,RF,System Operations,0.0,0.0,2019,2019-07-28 18:48:00,2019-07-28 19:18:00,0.5
July,Louisiana,SERC,Severe Weather/Transmission Interruption,,13720.0,2019,2019-07-30 08:45:00,2019-07-30 09:45:00,1.0
August,Washington,WECC,System Operations,0.0,0.0,2019,2019-08-02 18:24:00,2019-08-02 19:28:00,1.07
August,Minnesota,MRO,Transmission Interruption,0.0,0.0,2019,2019-08-02 01:49:00,2019-08-02 01:55:00,0.1
August,Oregon,WECC,Transmission Interruption,66.0,,2019,2019-08-05 17:23:00,2019-08-06 00:02:00,6.65
August,California,WECC,Vandalism,0.0,0.0,2019,2019-08-07 15:00:00,2019-08-07 15:30:00,0.5
August,Washington,WECC,Vandalism,0.0,0.0,2019,2019-08-07 08:40:00,,
August,Maine,NPCC,System Operations,0.0,0.0,2019,2019-08-07 09:30:00,2019-08-07 11:15:00,1.75
August,Ohio,RF,Severe Weather/Transmission Interruption,,5600.0,2019,2019-08-08 16:16:00,2019-08-08 22:41:00,6.42
August,Texas,TRE,Suspicious Activity,0.0,0.0,2019,2019-08-09 09:53:00,2019-08-09 10:46:00,0.88
August,Michigan,RF,System Operations,0.0,0.0,2019,2019-08-10 16:11:00,2019-08-10 16:46:00,0.58
August,Michigan,RF,System Operations,0.0,0.0,2019,2019-08-10 19:59:00,2019-08-10 21:04:00,1.08
August,California,WECC,Vandalism,0.0,0.0,2019,2019-08-13 10:00:00,2019-08-13 11:00:00,1.0
August,North Dakota,MRO,Vandalism,,,2019,2019-08-13 00:00:00,,
August,Texas,TRE,Severe Weather,,,2019,2019-08-13 15:10:00,2019-08-13 17:30:00,2.33
August,New York,NPCC,Fuel Supply Deficiency,150.0,,2019,2019-08-15 08:30:00,,
August,California,WECC,Distribution Interruption,80.0,61318.0,2019,2019-08-15 23:03:00,2019-08-16 00:37:00,1.57
August,Kentucky,SERC,Vandalism,0.0,0.0,2019,2019-08-15 11:00:00,2019-08-15 15:30:00,4.5
August,Texas,TRE,Severe Weather,,,2019,2019-08-15 15:11:00,2019-08-15 18:00:00,2.82
August,Washington,RF,System Operations,0.0,0.0,2019,2019-08-15 03:07:00,2019-08-15 03:56:00,0.82
August,Texas,TRE,Distribution Interruption,752.0,86373.0,2019,2019-08-18 16:47:00,2018-08-18 23:00:00,6.22
August,Texas,TRE,Transmission Interruption/Distribution Interruption,259.0,61000.0,2019,2019-08-18 16:30:00,2019-08-18 22:00:00,5.5
August,Louisiana,SPP RE,Transmission Interruption,271.0,86373.0,2019,2019-08-18 15:59:00,2019-08-18 23:00:00,7.02
August,Ohio,RF,Vandalism,,1397.0,2019,2019-08-21 07:56:00,,
August,Massachusetts,NPCC,Vandalism,0.0,0.0,2019,2019-08-21 15:30:00,,
August,Washington,WECC,Suspicious Activity,0.0,0.0,2019,2019-08-24 16:10:00,2019-08-24 19:28:00,3.3
August,Washington,WECC,Suspicious Activity,0.0,0.0,2019,2019-08-25 01:44:00,2019-08-25 02:20:00,0.6
August,North Dakota,MRO,Transmission Interruption,0.0,0.0,2019,2019-08-26 09:09:00,2019-08-26 13:34:00,4.42
August,Oklahoma,SPP RE,Severe Weather/Transmission Interruption,,95000.0,2019,2019-08-26 19:00:00,2019-08-27 03:00:00,8.0
August,Oklahoma,SPP RE,Severe Weather,,103779.0,2019,2019-08-26 19:00:00,2019-08-29 13:00:00,18.0
August,Michigan,RF,System Operations,0.0,0.0,2019,2019-08-29 23:30:00,2019-08-30 17:30:00,18.0
August,Pennsylvania,RF,System Operations,0.0,0.0,2019,2019-08-31 15:05:00,2019-08-31 15:46:00,0.68
August,California,WECC,Vandalism,0.0,0.0,2019,2019-08-31 16:00:00,2019-09-02 06:00:00,14.0
September,Texas,TRE,Severe Weather,,,2019,2019-09-04 14:30:00,2019-09-06 18:00:00,3.5
September,Maryland,RF,System Operations,0.0,0.0,2019,2019-09-04 11:13:00,2019-09-04 11:57:00,0.73
September,North Carolina,SERC,Severe Weather,3.0,2000.0,2019,2019-09-05 22:00:00,2019-09-06 12:00:00,14.0
September,North Carolina,SERC,Severe Weather,,116000.0,2019,2019-09-05 22:36:00,2019-09-06 16:00:00,17.4
September,South Carolina,SERC,Severe Weather,,172278.0,2019,2019-09-05 04:15:00,2019-09-05 15:17:00,11.03
September,Maine,NPCC,System Operations,0.0,0.0,2019,2019-09-05 10:08:00,2019-09-05 12:08:00,2.0
September,North Carolina,SERC,Severe Weather,,77000.0,2019,2019-09-06 08:20:00,,
September,Wyoming,WECC,Transmission Interruption,885.0,0.0,2019,2019-09-10 21:22:00,2019-09-10 21:23:00,0.02
September,Michigan,RF,Severe Weather,,54000.0,2019,2019-09-11 22:35:00,2019-09-11 23:59:00,1.4
September,Tennessee,SERC,System Operations,0.0,0.0,2019,2019-09-13 02:31:00,2019-09-16 17:00:00,14.48
September,Minnesota,MRO,Vandalism,0.0,0.0,2019,2019-09-19 18:40:00,2019-09-19 18:46:00,0.1
September,Arizona,WECC,Fuel Supply Deficiency,0.0,0.0,2019,2019-09-19 05:55:00,2019-09-19 14:30:00,8.58
September,Oklahoma,SPP RE,System Operations,0.0,0.0,2019,2019-09-20 00:21:00,2019-09-20 12:04:00,11.72
September,Washington,WECC,Vandalism,0.0,0.0,2019,2019-09-24 15:56:00,2019-09-26 19:25:00,3.48
September,Wisconsin,MRO,Suspicious Activity,0.0,0.0,2019,2019-09-25 17:25:00,2019-09-25 18:16:00,0.85
September,California,WECC,Severe Weather,25.0,69524.0,2019,2019-09-25 03:47:00,2019-09-25 15:40:00,11.88
September,Texas,TRE,Vandalism,,,2019,2019-09-25 09:59:00,2019-09-25 10:00:00,0.02
September,Maryland,RF,System Operations,0.0,0.0,2019,2019-09-26 14:31:00,2019-09-26 15:14:00,0.72
September,California,WECC,Distribution Interruption,,50072.0,2019,2019-09-29 07:38:00,,
September,Washington,WECC,System Operations,0.0,0.0,2019,2019-09-30 05:35:00,2019-09-30 08:10:00,2.58
September,Nevada,WECC,Actual Physical Attack,3736.0,0.0,2019,2019-09-30 12:17:00,2019-09-30 12:58:00,0.68
September,Idaho,WECC,Vandalism,0.0,0.0,2019,2019-09-30 10:53:00,2019-09-30 10:54:00,0.02
October,Missouri,SERC,Vandalism,0.0,0.0,2019,2019-10-03 00:13:00,2019-10-03 04:00:00,3.78
October,California,WECC,Fuel Supply Deficiency,0.0,0.0,2019,2019-10-04 05:15:00,,
October,California,WECC,Fuel Supply Deficiency,0.0,0.0,2019,2019-10-06 05:15:00,,
October,Texas,TRE,Transmission Interruption,,,2019,2019-10-06 14:50:00,2019-10-06 15:00:00,0.17
October,California,WECC,Severe Weather/Transmission Interruption,2400.0,737808.0,2019,2019-10-09 00:27:00,,
October,Maine,NPCC,System Operations,0.0,0.0,2019,2019-10-10 02:06:00,2019-10-10 05:05:00,2.98
October,Colorado,WECC,System Operations,0.0,0.0,2019,2019-10-10 00:22:00,2019-10-10 02:12:00,1.83
October,Michigan,RF,System Operations,0.0,0.0,2019,2019-10-11 10:56:00,2019-10-11 11:46:00,0.83
October,Texas,TRE,Transmission Interruption,0.0,0.0,2019,2019-10-12 15:00:00,2019-10-12 16:21:00,1.35
October,Ohio,RF,Transmission Interruption,0.0,0.0,2019,2019-10-15 03:19:00,2019-10-15 06:38:00,3.32
October,Kansas,SPP RE,System Operations,0.0,0.0,2019,2019-10-15 19:57:00,2019-10-15 20:44:00,0.78
October,Texas,SPP RE,Vandalism,0.0,0.0,2019,2019-10-16 07:00:00,,
October,Connecticut,NPCC,Severe Weather,,101683.0,2019,2019-10-17 00:45:00,2019-10-19 09:30:00,8.75
October,South Dakota,MRO,Transmission Interruption,0.0,0.0,2019,2019-10-19 05:57:00,2019-10-19 13:58:00,8.02
October,California,WECC,System Operations,0.0,0.0,2019,2019-10-19 14:00:00,2019-10-19 21:07:00,7.12
October,Texas,TRE,Severe Weather,,400000.0,2019,2019-10-20 22:15:00,2019-10-25 02:00:00,3.75
October,New York,NPCC,System Operations,0.0,0.0,2019,2019-10-23 00:49:00,2019-10-23 04:05:00,3.27
October,New York,NPCC,System Operations,0.0,0.0,2019,2019-10-23 00:49:00,2019-10-23 04:05:00,3.27
October,California,WECC,Severe Weather/Transmission Interruption,,50000.0,2019,2019-10-23 14:36:00,,
October,Ohio,RF,Transmission Interruption,0.0,0.0,2019,2019-10-24 17:02:00,2019-10-24 17:09:00,0.12
October,California,WECC,Fuel Supply Deficiency,0.0,0.0,2019,2019-10-24 05:15:00,,
October,South Carolina,SERC,Suspicious Activity,0.0,0.0,2019,2019-10-25 02:53:00,2019-10-25 04:37:00,1.73
October,California,WECC,Severe Weather/Transmission Interruption,3190.0,972000.0,2019,2019-10-26 18:20:00,2019-10-31 01:27:00,7.12
October,Maine,NPCC,System Operations,0.0,0.0,2019,2019-10-26 08:07:00,2019-10-26 08:45:00,0.63
October,Louisiana,SERC,Severe Weather,,82124.0,2019,2019-10-26 05:15:00,2019-10-26 17:31:00,12.27
October,Tennessee,SERC,Severe Weather,,70000.0,2019,2019-10-26 18:00:00,,
