Month,Area_Affected,Event_Type,Demand_Loss_(MW),Number_of_Customers_Affected,Date_Time_Event_Began,Date_Time_Restoration,Event_Duration_(hours),Year
November,Texas,Suspicious Activity,0.0,0.0,2019-11-16 06:00:00,2019-11-16 17:45:00,11.75,2019
November,California,Severe Weather/Transmission Interruption,178.0,54000.0,2019-11-20 09:49:00,2019-11-20 15:20:00,5.52,2019
November,California,System Operations,0.0,0.0,2019-11-20 16:55:00,2019-11-20 17:37:00,0.7,2019
November,New York,System Operations,0.0,0.0,2019-11-22 00:00:00,2019-11-22 01:10:00,1.17,2019
November,New York,System Operations,0.0,0.0,2019-11-22 00:00:00,2019-11-22 01:10:00,1.17,2019
November,California,Severe Weather,300.0,93000.0,2019-11-26 18:07:00,2019-11-27 12:27:00,18.33,2019
November,California,Vandalism,35.0,2.0,2019-11-27 02:44:00,2019-11-27 16:00:00,13.27,2019
November,Michigan,Severe Weather,30.0,107000.0,2019-11-27 12:00:00,2019-11-30 02:00:00,62.0,2019
November,Texas,Actual Physical Attack,0.0,0.0,2019-11-29 00:00:00,2019-12-01 00:00:00,48.0,2019
December,Alabama,System Operations,0.0,0.0,2019-12-03 19:16:00,2019-12-03 19:49:00,0.55,2019
December,California,Vandalism,,,2019-12-03 06:55:00,,,2019
December,Ohio,System Operations,0.0,0.0,2019-12-05 16:48:00,2019-12-09 05:16:00,84.47,2019
December,Washington,Suspicious Activity,,,2019-12-05 00:00:00,,,2019
December,Oklahoma,Actual Physical Attack,2.0,400.0,2019-12-07 06:10:00,2019-12-08 02:20:00,20.17,2019
December,Texas,Vandalism,0.0,0.0,2019-12-08 13:40:00,2019-12-08 13:41:00,0.02,2019
December,Oklahoma,Actual Physical Attack,1.0,392.0,2019-12-11 20:53:00,2019-12-11 21:33:00,0.67,2019
December,North Dakota,Transmission Interruption,18.0,1.0,2019-12-11 13:27:00,2019-12-11 13:51:00,0.4,2019
December,Maine,System Operations,0.0,0.0,2019-12-11 13:22:00,2019-12-11 16:28:00,3.1,2019
December,Texas,Transmission Interruption,0.0,0.0,2019-12-16 23:55:00,2019-12-17 01:47:00,1.87,2019
December,Texas,System Operations,0.0,0.0,2019-12-18 14:30:00,2019-12-18 15:25:00,0.92,2019
December,Nebraska,System Operations,0.0,0.0,2019-12-19 02:58:00,2019-12-19 03:46:00,0.8,2019
December,Illinois,Suspicious Activity,0.0,0.0,2019-12-24 15:30:00,2019-12-24 19:34:00,4.07,2019
December,Washington,Vandalism,0.0,0.0,2019-12-31 12:00:00,2019-12-31 13:00:00,1.0,2019
December,Texas,Transmission Interruption,25.0,0.0,2019-12-31 11:03:00,2020-01-01 10:59:00,23.93,2019
January,Arkansas,Severe Weather/Transmission Interruption,0.0,0.0,2020-01-09 23:07:00,2020-01-09 23:19:00,0.2,2020
January,Washington,Suspicious Activity,0.0,0.0,2020-01-09 20:45:00,2020-01-10 21:23:00,24.63,2020
January,Minnesota,System Operations,0.0,0.0,2020-01-09 07:40:00,2020-01-09 08:48:00,1.13,2020
January,Arkansas,System Operations,,,2020-01-09 23:07:00,2020-01-09 23:18:00,0.18,2020
January,Tennessee,Suspicious Activity,,,2020-01-10 14:53:00,,,2020
January,Arkansas,Severe Weather/Transmission Interruption,22.0,7541.0,2020-01-11 02:25:00,2020-01-11 07:56:00,5.52,2020
January,North Carolina,Severe Weather,,66475.0,2020-01-11 23:02:00,2020-01-12 02:01:00,2.98,2020
January,Arkansas,Severe Weather,,68138.0,2020-01-11 03:30:00,2020-01-11 17:30:00,14.0,2020
January,Tennessee,Severe Weather,4.0,,2020-01-11 13:20:00,,,2020
January,Alabama,Severe Weather,219.0,30715.0,2020-01-11 12:50:00,2020-01-12 13:33:00,24.72,2020
January,Texas,Suspicious Activity,0.0,0.0,2020-01-12 11:15:00,2020-01-12 11:18:00,0.05,2020
January,Florida,Suspicious Activity,0.0,0.0,2020-01-14 00:00:00,2020-01-14 01:00:00,1.0,2020
January,Texas,System Operations,0.0,0.0,2020-01-16 11:06:00,2020-01-16 11:36:00,0.5,2020
January,California,Severe Weather/Transmission Interruption,87.0,67864.0,2020-01-17 05:28:00,2020-01-17 10:13:00,4.75,2020
January,California,Vandalism,0.0,0.0,2020-01-20 06:30:00,2020-01-20 06:31:00,0.02,2020
January,Nevada,Actual Physical Attack,7.0,3120.0,2020-01-22 02:57:00,2020-01-22 03:17:00,0.33,2020
January,Florida,Vandalism,0.0,0.0,2020-01-23 23:30:00,2020-01-24 00:39:00,1.15,2020
January,California,Fuel Supply Deficiency,0.0,0.0,2020-01-24 04:34:00,,,2020
January,North Dakota,System Operations,540.0,130000.0,2020-01-27 14:10:00,2020-01-27 18:58:00,4.8,2020
January,North Dakota,Transmission Interruption,75.0,0.0,2020-01-30 03:01:00,2020-01-30 04:36:00,1.58,2020
January,California,Suspicious Activity,0.0,0.0,2020-01-31 09:50:00,2020-02-03 10:00:00,72.17,2020
February,North Carolina,Severe Weather/Distribution Interruption,,284256.0,2020-02-06 14:29:00,2020-02-07 12:44:00,22.25,2020
February,North Carolina,Severe Weather/Transmission Interruption,,89500.0,2020-02-06 13:30:00,2020-02-07 20:08:00,30.63,2020
February,Connecticut,Severe Weather,,123359.0,2020-02-07 16:25:00,2020-02-08 12:00:00,19.58,2020
February,New York,Severe Weather,,7500.0,2020-02-07 14:42:00,2020-02-10 09:25:00,66.72,2020
February,Pennsylvania,Severe Weather/Distribution Interruption,,52000.0,2020-02-07 11:00:00,,,2020
February,Virginia,Severe Weather,,87000.0,2020-02-07 08:48:00,,,2020
February,California,Vandalism,0.0,0.0,2020-02-08 13:56:00,2020-02-08 15:04:00,1.13,2020
February,California,Severe Weather,500.0,145000.0,2020-02-09 09:30:00,2020-02-09 21:40:00,12.17,2020
February,Texas,System Operations,0.0,0.0,2020-02-11 02:53:00,2020-02-11 13:30:00,10.62,2020
February,Oregon,Transmission Interruption,,0.0,2020-02-11 07:13:00,2020-02-11 16:00:00,8.78,2020
February,Maine,System Operations,0.0,0.0,2020-02-12 07:36:00,2020-02-12 08:53:00,1.28,2020
February,Oregon,Vandalism,0.0,0.0,2020-02-13 08:01:00,2020-02-13 14:38:00,6.62,2020
February,Alabama,Vandalism,97.0,,2020-02-17 09:47:00,2020-02-17 15:31:00,5.73,2020
February,Michigan,Vandalism,0.0,0.0,2020-02-17 13:18:00,2020-02-20 09:51:00,68.55,2020
February,California,Severe Weather,91.0,70000.0,2020-02-17 04:00:00,,,2020
February,California,Vandalism,0.0,0.0,2020-02-18 13:00:00,2020-02-18 14:00:00,1.0,2020
February,California,Vandalism,0.0,0.0,2020-02-25 11:45:00,2020-02-25 13:00:00,1.25,2020
February,Oklahoma,System Operations,0.0,0.0,2020-02-26 16:30:00,2020-02-26 17:02:00,0.53,2020
February,Maine,System Operations,0.0,0.0,2020-02-26 17:00:00,2020-02-26 18:05:00,1.08,2020
February,South Dakota,System Operations,0.0,0.0,2020-02-26 11:29:00,2020-02-26 12:14:00,0.75,2020
February,Nevada,System Operations,0.0,0.0,2020-02-29 01:45:00,2020-02-29 02:30:00,0.75,2020
March,Mississippi,Transmission Interruption,19.0,3136.0,2020-03-01 11:27:00,2020-03-01 21:47:00,10.33,2020
March,New York,Vandalism,0.0,0.0,2020-03-01 22:15:00,,,2020
March,New York,Fuel Supply Deficiency,675.0,,2020-03-01 08:00:00,,,2020
March,Nevada,System Operations,0.0,0.0,2020-03-02 01:43:00,2020-03-02 02:43:00,1.0,2020
March,Alabama,Vandalism,0.0,0.0,2020-03-03 14:30:00,2020-03-03 14:31:00,0.02,2020
March,Texas,Suspicious Activity,0.0,0.0,2020-03-08 22:10:00,2020-03-09 01:02:00,2.87,2020
March,Pennsylvania,Transmission Interruption,40.0,15864.0,2020-03-12 01:03:00,2020-03-12 03:00:00,1.95,2020
March,California,Severe Weather,165.0,110800.0,2020-03-16 12:01:00,2020-03-16 13:10:00,1.15,2020
March,California,Vandalism,0.0,0.0,2020-03-16 08:00:00,2020-03-16 08:01:00,0.02,2020
March,California,Vandalism,0.0,0.0,2020-03-16 08:00:00,2020-03-16 08:01:00,0.02,2020
March,Michigan,System Operations,6062.0,0.0,2020-03-17 10:30:00,2020-03-17 11:41:00,1.18,2020
March,Utah,Natural Disaster,237.0,73000.0,2020-03-18 07:09:00,,,2020
March,Minnesota,System Operations,0.0,0.0,2020-03-19 17:05:00,2020-03-19 17:43:00,0.63,2020
March,Connecticut,System Operations,0.0,0.0,2020-03-20 22:20:00,2020-03-20 23:30:00,1.17,2020
March,Maine,System Operations,0.0,0.0,2020-03-20 23:38:00,2020-03-20 23:59:00,0.35,2020
March,Connecticut,System Operations,0.0,0.0,2020-03-20 23:45:00,2020-03-21 00:30:00,0.75,2020
March,Wisconsin,Vandalism,0.0,0.0,2020-03-23 00:15:00,2020-03-25 17:11:00,64.93,2020
March,Virginia,Sabotage,,1018.0,2020-03-23 14:15:00,2020-03-23 16:37:00,2.37,2020
March,California,Suspicious Activity,0.0,0.0,2020-03-24 12:45:00,2020-03-24 14:00:00,1.25,2020
March,Connecticut,Severe Weather,,51026.0,2020-03-24 02:55:00,2020-03-24 06:50:00,3.92,2020
March,Nevada,Vandalism,0.0,0.0,2020-03-25 10:31:00,,,2020
March,Ohio,Transmission Interruption,19.0,11964.0,2020-03-26 21:29:00,2020-03-26 21:47:00,0.3,2020
March,Delaware,System Operations,0.0,0.0,2020-03-27 13:06:00,2020-03-27 13:58:00,0.87,2020
March,New Jersey,System Operations,0.0,0.0,2020-03-27 13:06:00,2020-03-27 13:58:00,0.87,2020
March,Mississippi,Transmission Interruption,4.0,1558.0,2020-03-29 20:27:00,2020-03-29 23:04:00,2.62,2020
March,Alabama,Severe Weather,412.0,57744.0,2020-03-31 11:45:00,2020-03-31 20:00:00,8.25,2020
April,Illinois,System Operations,0.0,0.0,2020-04-01 21:43:00,2020-04-01 22:18:00,0.58,2020
April,Texas,System Operations,0.0,0.0,2020-04-02 18:41:00,2020-04-02 19:23:00,0.7,2020
April,Nebraska,Transmission Interruption,5.0,,2020-04-02 13:37:00,2020-04-02 14:43:00,1.1,2020
April,Washington,Vandalism,,,2020-04-02 20:45:00,,,2020
April,Nevada,Vandalism,0.0,0.0,2020-04-03 09:13:00,,,2020
April,Texas,Suspicious Activity,0.0,0.0,2020-04-05 02:30:00,2020-04-05 03:01:00,0.52,2020
April,California,Severe Weather,7.0,6814.0,2020-04-05 15:46:00,2020-04-05 17:35:00,1.82,2020
April,Washington,Transmission Interruption,0.0,0.0,2020-04-07 23:39:00,2020-04-07 23:46:00,0.12,2020
April,Ohio,Severe Weather,,78314.0,2020-04-08 21:57:00,2020-04-09 08:59:00,11.03,2020
April,Indiana,Severe Weather,,93000.0,2020-04-08 22:03:00,2020-04-09 07:36:00,9.55,2020
April,Ohio,Severe Weather,,82509.0,2020-04-08 01:21:00,2020-04-08 03:56:00,2.58,2020
April,Texas,Severe Weather,,95000.0,2020-04-09 19:25:00,2020-04-10 03:30:00,8.08,2020
April,Maine,Severe Weather,,340000.0,2020-04-09 19:40:00,2020-04-11 22:00:00,50.33,2020
April,Wisconsin,System Operations,0.0,0.0,2020-04-09 07:34:00,2020-04-09 17:40:00,10.1,2020
April,Maine,System Operations,0.0,0.0,2020-04-10 10:00:00,2020-04-10 16:19:00,6.32,2020
April,Nevada,Vandalism,0.0,0.0,2020-04-10 16:00:00,,,2020
April,Wyoming,Transmission Interruption,0.0,0.0,2020-04-11 11:24:00,2020-04-11 11:42:00,0.3,2020
April,Utah,Suspicious Activity,,,2020-04-11 17:40:00,2020-04-11 17:51:00,0.18,2020
April,Arkansas,Severe Weather,,95318.0,2020-04-12 20:45:00,,,2020
April,Louisiana,Severe Weather,122.0,37991.0,2020-04-12 13:00:00,2020-04-12 19:27:00,6.45,2020
April,Arkansas,Severe Weather,,51000.0,2020-04-12 20:30:00,2020-04-14 09:00:00,36.5,2020
April,Virginia,Severe Weather,,104000.0,2020-04-12 21:28:00,2020-04-15 12:00:00,62.53,2020
April,Mississippi,Severe Weather,448.0,62828.0,2020-04-12 17:00:00,2020-04-14 01:25:00,32.42,2020
April,Texas,Severe Weather,,63289.0,2020-04-12 18:13:00,2020-04-13 15:23:00,21.17,2020
April,North Carolina,Severe Weather,,216400.0,2020-04-13 03:30:00,2020-04-14 18:18:00,38.8,2020
April,Tennessee,Severe Weather,,120000.0,2020-04-13 00:45:00,2020-04-13 03:00:00,2.25,2020
April,South Carolina,Severe Weather,,72233.0,2020-04-13 08:08:00,,,2020
April,North Carolina,Severe Weather,,95000.0,2020-04-13 10:25:00,2020-04-13 18:55:00,8.5,2020
April,Connecticut,Severe Weather,,68476.0,2020-04-13 13:05:00,2020-04-14 16:00:00,26.92,2020
April,North Carolina,Severe Weather,,,2020-04-13 07:31:00,2020-04-13 14:00:00,6.48,2020
April,Georgia,Vandalism,0.0,0.0,2020-04-16 11:30:00,2020-04-16 15:45:00,4.25,2020
April,Nevada,Vandalism,0.0,0.0,2020-04-18 19:38:00,,,2020
April,North Dakota,Suspicious Activity,0.0,0.0,2020-04-19 01:14:00,2020-04-20 11:42:00,34.47,2020
April,South Dakota,Vandalism,0.0,0.0,2020-04-20 12:42:00,2020-04-20 13:27:00,0.75,2020
April,Alabama,Severe Weather,552.0,77341.0,2020-04-20 00:59:00,2020-04-20 08:40:00,7.68,2020
April,Mississippi,Severe Weather,,55184.0,2020-04-23 04:30:00,2020-04-23 07:00:00,2.5,2020
April,Alabama,Severe Weather,375.0,52163.0,2020-04-23 08:00:00,2020-04-23 23:40:00,15.67,2020
April,Nevada,Vandalism,0.0,0.0,2020-04-24 22:00:00,,,2020
April,California,System Operations,5.0,945.0,2020-04-24 21:00:00,2020-04-24 21:33:00,0.55,2020
April,Oregon,Vandalism,0.0,0.0,2020-04-25 21:25:00,2020-04-25 21:56:00,0.52,2020
April,Florida,Severe Weather,,49999.0,2020-04-26 01:38:00,,,2020
April,Texas,Transmission Interruption,14.0,1.0,2020-04-28 20:01:00,2020-04-28 23:21:00,3.33,2020
April,Louisiana,Severe Weather,,77933.0,2020-04-29 06:00:00,2020-04-29 12:31:00,6.52,2020
April,Texas,Severe Weather,,146660.0,2020-04-29 05:55:00,2020-04-29 19:00:00,13.08,2020
April,Pennsylvania,Severe Weather,,78007.0,2020-04-30 15:00:00,,,2020
May,Tennessee,Severe Weather,500.0,130000.0,2020-05-04 11:59:00,2020-05-07 20:00:00,80.02,2020
May,Nevada,Vandalism,0.0,0.0,2020-05-08 13:45:00,2020-05-08 13:46:00,0.02,2020
May,Indiana,System Operations,0.0,0.0,2020-05-13 23:16:00,2020-05-14 13:52:00,14.6,2020
May,Washington,Transmission Interruption,0.0,0.0,2020-05-13 05:12:00,2020-05-13 14:07:00,8.92,2020
May,Oregon,Vandalism,0.0,0.0,2020-05-14 11:23:00,2020-05-14 11:25:00,0.03,2020
May,New York,Severe Weather,,52.0,2020-05-15 17:55:00,2020-05-17 18:00:00,48.08,2020
May,Texas,Suspicious Activity,0.0,0.0,2020-05-16 00:00:00,2020-05-16 00:30:00,0.5,2020
May,South Carolina,System Operations,0.0,0.0,2020-05-18 23:51:00,2020-05-19 04:37:00,4.77,2020
May,Oregon,System Operations,0.0,0.0,2020-05-18 09:27:00,2020-05-18 10:15:00,0.8,2020
May,Alabama,Vandalism,8.0,6000.0,2020-05-19 20:04:00,2020-05-19 22:00:00,1.93,2020
May,Idaho,Vandalism,0.0,0.0,2020-05-19 08:17:00,2020-05-19 08:18:00,0.02,2020
May,Arkansas,Suspicious Activity,0.0,0.0,2020-05-19 13:45:00,2020-05-19 13:46:00,0.02,2020
May,Nevada,Vandalism,0.0,0.0,2020-05-20 11:41:00,,,2020
May,North Carolina,Severe Weather,,108190.0,2020-05-22 16:35:00,2020-05-23 15:29:00,22.9,2020
May,Oklahoma,Severe Weather,,54000.0,2020-05-24 16:45:00,,,2020
May,Texas,Transmission Interruption,8.0,3745.0,2020-05-25 10:58:00,2020-05-25 13:00:00,2.03,2020
May,Texas,Severe Weather,,382000.0,2020-05-27 17:15:00,2020-05-29 06:30:00,37.25,2020
May,Texas,Severe Weather,,273269.0,2020-05-27 17:20:00,,,2020
May,Pennsylvania,Transmission Interruption,0.0,0.0,2020-05-29 17:01:00,2020-05-29 18:57:00,1.93,2020
May,Minnesota,System Operations,0.0,0.0,2020-05-29 17:30:00,2020-05-31 18:00:00,48.5,2020
May,Ohio,Vandalism,0.0,0.0,2020-05-29 21:37:00,2020-05-30 04:29:00,6.87,2020
May,Texas,System Operations,0.0,0.0,2020-05-30 22:20:00,2020-05-30 23:00:00,0.67,2020
May,Alabama,Vandalism,0.0,0.0,2020-05-31 21:30:00,2020-06-01 01:00:00,3.5,2020
May,Pennsylvania,Vandalism,0.0,0.0,2020-05-31 00:15:00,,,2020
June,Idaho,Vandalism,,0.0,2020-06-02 14:36:00,2020-06-02 14:37:00,0.02,2020
June,New Jersey,Severe Weather,80.0,87000.0,2020-06-03 13:00:00,2020-06-06 16:30:00,75.5,2020
June,Pennsylvania,Severe Weather,,708000.0,2020-06-03 12:30:00,2020-06-03 18:00:00,5.5,2020
June,North Dakota,System Operations,0.0,0.0,2020-06-03 16:57:00,2020-06-03 17:29:00,0.53,2020
June,New Jersey,Severe Weather,,78079.0,2020-06-03 13:36:00,2020-06-03 16:30:00,2.9,2020
June,Washington,Transmission Interruption,0.0,0.0,2020-06-09 11:21:00,2020-06-09 12:01:00,0.67,2020
June,Michigan,Severe Weather,,237000.0,2020-06-10 19:30:00,,,2020
June,Michigan,Severe Weather,,270000.0,2020-06-10 12:22:00,2020-06-10 17:00:00,4.63,2020
June,Ohio,Severe Weather,,85822.0,2020-06-10 17:24:00,2020-06-11 18:00:00,24.6,2020
June,Michigan,Vandalism,0.0,0.0,2020-06-12 08:21:00,2020-06-12 08:22:00,0.02,2020
June,Colorado,Actual Physical Attack,0.0,0.0,2020-06-18 12:11:00,2020-06-22 08:11:00,92.0,2020
June,Kentucky,Actual Physical Attack,0.0,0.0,2020-06-18 20:32:00,2020-06-18 20:35:00,0.05,2020
June,Delaware,Vandalism,0.0,0.0,2020-06-21 01:16:00,2020-06-21 18:45:00,17.48,2020
June,Pennsylvania,System Operations,0.0,0.0,2020-06-22 11:44:00,2020-06-22 12:42:00,0.97,2020
June,Kentucky,Suspicious Activity,,0.0,2020-06-25 09:40:00,2020-06-25 11:00:00,1.33,2020
June,North Dakota,Vandalism,0.0,0.0,2020-06-26 16:20:00,2020-06-29 15:00:00,70.67,2020
June,Texas,System Operations,0.0,0.0,2020-06-26 12:47:00,2020-06-26 13:53:00,1.1,2020
June,Alabama,Severe Weather,33480.0,78109.0,2020-06-27 16:00:00,2020-06-28 02:27:00,10.45,2020
June,Arkansas,Transmission Interruption,0.0,0.0,2020-06-29 14:32:00,2020-06-29 16:35:00,2.05,2020
June,Oregon,Vandalism,0.0,0.0,2020-06-30 10:28:00,2020-06-30 10:29:00,0.02,2020
July,Pennsylvania,Transmission Interruption,32.0,2013.0,2020-07-01 19:26:00,2020-07-01 19:44:00,0.3,2020
July,California,Fuel Supply Deficiency,0.0,0.0,2020-07-02 20:30:00,,,2020
July,New York,Suspicious Activity,0.0,0.0,2020-07-06 12:26:00,,,2020
July,Washington,System Operations,0.0,0.0,2020-07-06 18:45:00,2020-07-06 19:42:00,0.95,2020
July,California,Transmission Interruption,0.0,0.0,2020-07-07 11:38:00,2020-07-07 18:24:00,6.77,2020
July,Colorado,Transmission Interruption,0.0,0.0,2020-07-07 13:09:00,2020-07-08 08:17:00,19.13,2020
July,West Virginia,Severe Weather/Transmission Interruption,,,2020-07-07 19:17:00,2020-07-07 23:49:00,4.53,2020
July,Texas,Actual Physical Attack,0.0,0.0,2020-07-08 22:04:00,,,2020
July,California,Fuel Supply Deficiency,0.0,0.0,2020-07-08 18:45:00,,,2020
July,Washington,Suspicious Activity,0.0,0.0,2020-07-09 15:09:00,,,2020
July,Oklahoma,Severe Weather,,68000.0,2020-07-11 23:30:00,2020-07-12 06:30:00,7.0,2020
July,Oklahoma,Severe Weather,,94700.0,2020-07-11 21:30:00,,,2020
July,California,Fuel Supply Deficiency,0.0,0.0,2020-07-11 04:55:00,,,2020
July,Texas,Severe Weather,,48000.0,2020-07-12 04:30:00,2020-07-13 05:00:00,24.5,2020
July,Nevada,Actual Physical Attack,36.0,10000.0,2020-07-12 14:08:00,2020-07-12 20:44:00,6.6,2020
July,Kentucky,Suspicious Activity,0.0,0.0,2020-07-13 16:30:00,2020-07-13 16:31:00,0.02,2020
July,California,System Operations,0.0,0.0,2020-07-14 14:16:00,2020-07-14 14:53:00,0.62,2020
July,Kentucky,Suspicious Activity,,0.0,2020-07-15 11:00:00,2020-07-15 11:20:00,0.33,2020
July,North Dakota,System Operations,475.0,0.0,2020-07-16 08:49:00,2020-07-16 11:06:00,2.28,2020
July,Oklahoma,Vandalism,0.0,0.0,2020-07-17 23:00:00,2020-07-17 23:30:00,0.5,2020
July,New York,Suspicious Activity,0.0,0.0,2020-07-17 19:24:00,,,2020
July,Michigan,Severe Weather,,158500.0,2020-07-19 14:30:00,2020-07-21 18:48:00,52.3,2020
July,New York,Fuel Supply Deficiency,675.0,,2020-07-19 10:30:00,,,2020
July,Texas,Suspicious Activity,21.0,14096.0,2020-07-20 00:57:00,2020-07-20 02:34:00,1.62,2020
July,Washington,Vandalism,19.0,11000.0,2020-07-21 11:53:00,2020-07-21 13:00:00,1.12,2020
July,West Virginia,Transmission Interruption,0.0,0.0,2020-07-22 11:30:00,2020-07-22 14:19:00,2.82,2020
July,New York,Suspicious Activity,0.0,0.0,2020-07-24 08:25:00,,,2020
July,Texas,Severe Weather,125.0,84000.0,2020-07-25 21:00:00,2020-07-26 16:00:00,19.0,2020
July,Texas,Severe Weather,,201208.0,2020-07-25 19:58:00,2020-07-27 19:00:00,47.03,2020
July,Michigan,System Operations,0.0,0.0,2020-07-28 15:00:00,2020-07-28 23:00:00,8.0,2020
July,Nebraska,Transmission Interruption,0.0,0.0,2020-07-30 17:54:00,2020-07-30 20:18:00,2.4,2020
August,Texas,Severe Weather,,,2020-08-01 11:14:00,2020-08-10 21:26:00,226.2,2020
August,California,System Operations,0.0,0.0,2020-08-01 08:16:00,2020-08-01 09:15:00,0.98,2020
August,Texas,Severe Weather,,,2020-08-01 00:00:00,2020-08-01 00:01:00,0.02,2020
August,Illinois,Transmission Interruption,0.0,0.0,2020-08-02 19:43:00,2020-08-02 22:27:00,2.73,2020
August,Texas,Vandalism,0.0,0.0,2020-08-03 08:00:00,2020-08-03 13:00:00,5.0,2020
August,North Carolina,Severe Weather,,340000.0,2020-08-03 23:15:00,2020-08-06 07:00:00,55.75,2020
August,North Carolina,Severe Weather,,,2020-08-03 23:02:00,,,2020
August,New York,Severe Weather,,160000.0,2020-08-04 12:00:00,2020-08-07 06:00:00,66.0,2020
August,New York,Severe Weather,3907.0,420000.0,2020-08-04 13:00:00,2020-08-04 23:59:00,10.98,2020
August,New Jersey,Severe Weather,60.0,75000.0,2020-08-04 11:20:00,2020-08-07 10:55:00,71.58,2020
August,Delaware,Severe Weather,,100000.0,2020-08-04 09:00:00,2020-08-05 18:00:00,33.0,2020
August,New York,Severe Weather,,116818.0,2020-08-04 14:00:00,2020-08-08 12:00:00,94.0,2020
August,Virginia,Severe Weather,,508000.0,2020-08-04 04:41:00,2020-08-05 16:26:00,35.75,2020
August,New Jersey,Severe Weather,,788000.0,2020-08-04 12:18:00,2020-08-08 17:31:00,101.22,2020
August,New York,Severe Weather,,76120.0,2020-08-04 14:35:00,2020-08-10 11:00:00,140.42,2020
August,Connecticut,Severe Weather,2000.0,1188247.0,2020-08-04 15:15:00,2020-08-07 10:27:00,67.2,2020
August,New York,Severe Weather,,271119.0,2020-08-04 13:31:00,,,2020
August,North Carolina,Severe Weather,311.0,125987.0,2020-08-04 06:01:00,2020-08-06 15:30:00,57.48,2020
August,Pennsylvania,Severe Weather,,137103.0,2020-08-04 12:00:00,,,2020
August,New Jersey,Severe Weather,,70000.0,2020-08-04 10:30:00,,,2020
August,New York,Severe Weather,,76120.0,2020-08-04 14:35:00,,,2020
August,Texas,Transmission Interruption,89.0,19785.0,2020-08-05 17:58:00,2020-08-05 20:53:00,2.92,2020
August,New York,Severe Weather,500.0,187068.0,2020-08-07 05:13:00,,,2020
August,Iowa,Severe Weather,550.0,,2020-08-10 11:00:00,2020-08-10 16:00:00,5.0,2020
August,Illinois,Severe Weather,,135000.0,2020-08-10 16:00:00,2020-08-13 15:00:00,71.0,2020
August,Iowa,Severe Weather,,,2020-08-10 12:49:00,,,2020
August,Indiana,Severe Weather,,95300.0,2020-08-10 22:39:00,2020-08-13 15:48:00,65.15,2020
August,Illinois,Severe Weather,,856000.0,2020-08-10 14:30:00,,,2020
August,New York,System Operations,0.0,0.0,2020-08-10 22:25:00,2020-08-10 23:02:00,0.62,2020
August,Iowa,Severe Weather,1400.0,250000.0,2020-08-10 12:38:00,,,2020
August,Iowa,Severe Weather,950.0,300000.0,2020-08-10 10:00:00,,,2020
August,Texas,System Operations,218.0,57060.0,2020-08-13 13:51:00,2020-08-13 16:27:00,2.6,2020
August,California,System Operations,560.0,220000.0,2020-08-14 18:36:00,2020-08-14 20:42:00,2.1,2020
August,Louisiana,Transmission Interruption,101.0,12671.0,2020-08-14 16:39:00,2020-08-14 17:42:00,1.05,2020
August,California,Severe Weather,1120.0,,2020-08-14 17:15:00,2020-08-15 21:00:00,27.75,2020
August,California,System Operations,1419.0,132000.0,2020-08-14 18:45:00,2020-08-14 21:12:00,2.45,2020
August,Minnesota,Severe Weather,,60000.0,2020-08-14 20:00:00,2020-08-16 17:00:00,45.0,2020
August,California,System Operations,459.0,220000.0,2020-08-15 18:25:00,2020-08-15 19:44:00,1.32,2020
August,California,Severe Weather,795.0,,2020-08-15 14:53:00,2020-08-15 20:00:00,5.12,2020
August,California,System Operations,200.0,70000.0,2020-08-15 15:00:00,2020-08-15 19:45:00,4.75,2020
August,Washington,Vandalism,0.0,8.0,2020-08-15 17:00:00,,,2020
August,Connecticut,Suspicious Activity,0.0,0.0,2020-08-15 17:41:00,2020-08-15 18:48:00,1.12,2020
August,Texas,Severe Weather,,300000.0,2020-08-16 20:00:00,2020-08-18 21:00:00,49.0,2020
August,California,Severe Weather,409.0,124266.0,2020-08-16 03:44:00,2020-08-17 14:18:00,34.57,2020
August,California,Severe Weather,712.0,,2020-08-16 17:30:00,2020-08-16 19:10:00,1.67,2020
August,California,Severe Weather,2.0,2.0,2020-08-17 08:21:00,2020-08-17 09:01:00,0.67,2020
August,California,Severe Weather,829.0,,2020-08-17 15:05:00,2020-08-17 21:24:00,6.32,2020
August,California,Potential Physical Attack,0.0,0.0,2020-08-18 19:00:00,2020-08-18 19:30:00,0.5,2020
August,Nevada,Severe Weather,7800.0,1400000.0,2020-08-18 14:00:00,2020-08-18 21:00:00,7.0,2020
August,California,System Operations,0.0,0.0,2020-08-18 21:55:00,2020-08-18 22:10:00,0.25,2020
August,California,Severe Weather,917.0,,2020-08-18 13:30:00,2020-08-18 20:30:00,7.0,2020
August,Texas,Transmission Interruption,205.0,238.0,2020-08-18 14:44:00,2020-08-18 15:14:00,0.5,2020
August,Arizona,Severe Weather,0.0,,2020-08-18 14:30:00,,,2020
August,Ohio,Transmission Interruption,22.0,16107.0,2020-08-19 01:27:00,2020-08-19 03:03:00,1.6,2020
August,Arizona,Severe Weather,1200.0,0.0,2020-08-19 14:00:00,2020-08-19 21:00:00,7.0,2020
August,Nevada,Severe Weather,7500.0,1400000.0,2020-08-19 14:00:00,2020-08-19 21:00:00,7.0,2020
August,California,Severe Weather,,,2020-08-19 12:00:00,2020-08-19 21:00:00,9.0,2020
